cc,country,survyear,eppregion,Subnational region,survname,ISO3,Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
834,United Republic of Tanzania,,Tanga,,Naomi,TZA,female,,,,,,17563,18440,22422,28775,28312,
834,United Republic of Tanzania,,Tanga,,Naomi,TZA,male,,,,,,5997,6479,7925,10454,10712,
834,United Republic of Tanzania,,Morogoro,,Naomi,TZA,female,,,,,,16999,20414,25520,30363,34905,
834,United Republic of Tanzania,,Morogoro,,Naomi,TZA,male,,,,,,6689,7877,9800,12058,15527,
834,United Republic of Tanzania,,Pwani,,Naomi,TZA,female,,,,,,12464,17156,20310,24732,26312,
834,United Republic of Tanzania,,Pwani,,Naomi,TZA,male,,,,,,4258,5998,7490,9506,10962,
834,United Republic of Tanzania,,Dar es Salaam,,Naomi,TZA,female,,,,,,58204,87089,103953,122002,122033,
834,United Republic of Tanzania,,Dar es Salaam,,Naomi,TZA,male,,,,,,21182,32136,37653,45892,51801,
834,United Republic of Tanzania,,Lindi,,Naomi,TZA,female,,,,,,6728,9067,10946,12850,13837,
834,United Republic of Tanzania,,Lindi,,Naomi,TZA,male,,,,,,2193,3038,3716,4443,4958,
834,United Republic of Tanzania,,Mtwara,,Naomi,TZA,female,,,,,,9997,13093,17433,19454,19932,
834,United Republic of Tanzania,,Mtwara,,Naomi,TZA,male,,,,,,3583,4653,6274,6817,7337,
834,United Republic of Tanzania,,Ruvuma,,Naomi,TZA,female,,,,,,15518,19610,23872,27188,29239,
834,United Republic of Tanzania,,Ruvuma,,Naomi,TZA,male,,,,,,7294,8760,11359,13460,14967,
834,United Republic of Tanzania,,Iringa,,Naomi,TZA,female,,,,,,21515,27968,31713,36118,41291,
834,United Republic of Tanzania,,Iringa,,Naomi,TZA,male,,,,,,11559,12830,16098,18527,22521,
834,United Republic of Tanzania,,Mbeya,,Naomi,TZA,female,,,,,,35312,48827,56233,62471,67513,
834,United Republic of Tanzania,,Mbeya,,Naomi,TZA,male,,,,,,16973,24300,28561,32270,35188,
834,United Republic of Tanzania,,Singida,,Naomi,TZA,female,,,,,,5909,7569,10246,11781,12695,
834,United Republic of Tanzania,,Singida,,Naomi,TZA,male,,,,,,2534,2951,4033,4693,5263,
834,United Republic of Tanzania,,Tabora,,Naomi,TZA,female,,,,,,19927,24028,28368,33387,38722,
834,United Republic of Tanzania,,Tabora,,Naomi,TZA,male,,,,,,8972,11330,13561,16623,19967,
834,United Republic of Tanzania,,Rukwa,,Naomi,TZA,female,,,,,,8416,11091,13526,16136,16389,
834,United Republic of Tanzania,,Rukwa,,Naomi,TZA,male,,,,,,3651,5000,6634,8196,8493,
834,United Republic of Tanzania,,Kigoma,,Naomi,TZA,female,,,,,,3759,6773,7340,9784,10754,
834,United Republic of Tanzania,,Kigoma,,Naomi,TZA,male,,,,,,1366,2779,3124,4581,5689,
834,United Republic of Tanzania,,Shinyaga,,Naomi,TZA,female,,,,,,20015,24416,30812,36995,36060,
834,United Republic of Tanzania,,Shinyaga,,Naomi,TZA,male,,,,,,9655,11929,15665,19555,19527,
834,United Republic of Tanzania,,Kagera,,Naomi,TZA,female,,,,,,17216,24701,30758,37694,47920,
834,United Republic of Tanzania,,Kagera,,Naomi,TZA,male,,,,,,7759,12047,16113,21425,30350,
834,United Republic of Tanzania,,Mwanza,,Naomi,TZA,female,,,,,,25061,33050,39345,46734,58370,
